iter	Logloss
0	0.6861879352
1	0.6798573552
2	0.6738940934
3	0.692468505844	0.692308416255	0.692133339166	0.691956210977	0.6917444473
8	0.6915626069
9	0.6914047210	10	0.6912386811	11	0.6910635359
12	0.6908893513	13	0.690745051414	0.6906001287
15	0.6904237113
16	0.6902508454
17	0.69004569318	0.4830313999
19	0.4768325907
0	020	0.6893460452
1	0.4419355994
22	0.4365877098
23	0.4307759378
24	0.4247357754
5	0.5537543322
26	0.5500320493
27	0.5458004044
28	0.5411305263
29	0.5362015624
30	0.532706189
31	0.5287422624
32	0.524623359
33	0.5203853306
34	0.5160170174
35	0.512294694
36	0.5094808945
37	0.5056114665
38	0.5022621773
39	0.4987525241
40	0.4958293268
41	0.4932973292
42	0.4909506176
43	0.4881714411
44	0.4853853492
45	0.4821321883
46	0.4787924889
47	0.4762691169
48	0.4731688599
49	0.470168693
50	0.4673435428
51	0.4647903582
52	0.4625547283
53	0.4598327466
54	0.4569424517
55	0.4544140375
56	0.4520984411
57	0.4495147851
58	0.446786463
59	0.4442086737
60	0.4419473946
61	0.4394251661
62	0.4371833862
63	0.4351907487
64	0.4327584002
65	0.4307134305
66	0.4283033107
67	0.4260726422
68	0.4241410466
69	0.4221849293
70	0.4198826537
71	0.4181013138
72	0.4155137793
73	0.4132798475
74	0.4111331364
75	0.4088248336
76	0.4067171506
77	0.4047136223
78	0.4022039495
79	0.4003661995
80	0.3985485224
81	0.3969610064
82	0.395503994
83	0.3934877128
84	0.3919306393
85	0.3904390492
86	0.3882116517
87	0.3862708329
88	0.3851146446
89	0.3835461499
90	0.3816027673
91	0.3802259693
92	0.3786272976
93	0.3771112118
94	0.3754287304
95	0.3740628392
96	0.372266184
97	0.3704308626
98	0.3687171131
99	0.3672005563
100	0.3659475514
101	0.3643515748
102	0.363747825
103	0.3620720472
104	0.3607998243
105	0.3596455969
106	0.3584737166
107	0.3573590176
108	0.3554488908
109	0.353803447
110	0.3525598415
111	0.3510775475
112	0.3495242041
113	0.3479075521
114	0.3465967372
115	0.3452100239
116	0.3438804667
117	0.3424993471
118	0.3412296824
119	0.3399358121
120	0.3385861475
121	0.3376690818
122	0.33664773
123	0.3355217194
124	0.3344283558
125	0.3331436721
126	0.3320253252
127	0.3310173347
128	0.3298133965
129	0.3287253907
130	0.3274686498
131	0.3262254179
132	0.3250926149
133	0.324013566
134	0.3227239666
135	0.3218810065
136	0.3207277886
137	0.3194523862
138	0.3184447214
139	0.3175411918
140	0.3166468096
141	0.3155483234
142	0.3143279837
143	0.3132424507
144	0.3124222628
145	0.3116104493
146	0.3105721113
147	0.3093713518
148	0.3085202901
149	0.307657366
150	0.3071101077
151	0.3057908314
152	0.3045947568
153	0.3037523473
154	0.3032036602
155	0.3022418095
156	0.3013023746
157	0.3005266948
158	0.2994040139
159	0.2986875814
160	0.2977907908
161	0.2965431032
162	0.29586603
163	0.2949790044
164	0.2945725155
165	0.2937346295
166	0.2928777243
167	0.2917882549
168	0.2909259615
169	0.2902189466
170	0.2896750392
171	0.2891384857
172	0.2884638438
173	0.287618513
174	0.2869486639
175	0.286079176	0176	0.285322177	0177	0.284649178	0178	0.284034179	179	0.2832132180	180	0.2826143181	181	0.2822444182182	0.28127952183183	0.28088582184184	0.2803165185	185	0.2796713304
186	0.2789516187	187	0.2783855188	188	0.2776891189	189	0.2769043190	190	0.2765722191	191	0.2759137192	192	0.2750858193	193	0.2744379194	194	0.2738122195	195	0.2731721196	196	0.2724724197	0.2853993619
198	0.28480811
199	0.2841881264
92836
64

