iter	Passed	Remaining
498	1078	1082
499	1080	1080
500	1081	1077
501	1083	1074
502	1085	1072
503	1086	1069
504	1088	1066
505	1089	1064
506	1091	1061
507	1093	1058
508	1095	1056
509	1096	1053
510	1098	1051
511	1100	1048
512	1102	1046
513	1103	1043
514	1105	1040
515	1107	1038
516	1109	1036
517	1110	1033
518	1112	1031
519	1114	1029
520	1116	1026
521	1118	1024
522	1120	1021
523	1122	1019
524	1124	1017
525	1125	1014
526	1128	1012
527	1129	1010
528	1131	1007
529	1133	1005
530	1135	1003
531	1138	1001
532	1140	999
533	1142	996
534	1144	994
535	1146	992
536	1148	990
537	1150	988
538	1152	985
539	1154	983
540	1156	981
541	1158	979
542	1160	977
543	1162	974
544	1164	972
545	1166	970
546	1168	967
547	1170	965
548	1172	963
549	1174	960
550	1176	958
551	1179	956
552	1181	954
553	1183	952
554	1184	950
555	1187	947
556	1188	945
557	1190	943
558	1193	941
559	1194	938
560	1196	936
561	1198	934
562	1200	931
563	1202	929
564	1204	927
565	1206	924
566	1208	922
567	1209	920
568	1211	917
569	1213	915
570	1215	912
571	1216	910
572	1219	908
573	1221	906
574	1223	904
575	1225	902
576	1227	899
577	1228	897
578	1230	894
579	1232	892
580	1234	890
581	1236	888
582	1238	885
583	1240	883
584	1242	881
585	1243	878
586	1245	876
587	1247	873
588	1248	871
589	1250	869
590	1252	866
591	1253	864
592	1255	861
593	1257	859
594	1259	857
595	1261	854
596	1263	852
597	1264	850
598	1266	847
599	1268	845
600	1269	842
601	1271	840
602	1273	838
603	1275	836
604	1276	833
605	1278	831
606	1280	828
607	1281	826
608	1283	824
609	1285	821
610	1286	819
611	1288	817
612	1290	814
613	1291	812
614	1293	809
615	1295	807
616	1297	805
617	1299	803
618	1301	800
619	1302	798
620	1305	796
621	1307	794
622	1309	792
623	1311	789
624	1312	787
625	1314	785
626	1316	783
627	1318	780
628	1319	778
629	1320	775
630	1322	773
631	1324	771
632	1326	768
633	1327	766
634	1329	764
635	1331	762
636	1333	759
637	1335	757
638	1337	755
639	1338	753
640	1340	750
641	1342	748
642	1343	746
643	1345	743
644	1347	741
645	1349	739
646	1350	736
647	1352	734
648	1354	732
649	1355	730
650	1358	728
651	1359	725
652	1361	723
653	1363	721
654	1366	719
655	1370	718
656	1373	717
657	1375	715
658	1378	713
659	1380	711
660	1384	709
661	1387	708
662	1390	706
663	1393	705
664	1396	703
665	1399	701
666	1400	699
667	1402	697
668	1405	695
669	1408	693
670	1411	691
671	1412	689
672	1414	687
673	1416	685
674	1418	683
675	1420	680
676	1422	678
677	1423	676
678	1426	674
679	1428	672
680	1430	670
681	1432	668
682	1434	665
683	1436	663
684	1438	661
685	1439	659
686	1441	656
687	1443	654
688	1445	652
689	1447	650
690	1449	648
691	1451	645
692	1453	643
693	1454	641
694	1456	639
695	1458	637
696	1460	634
697	1461	632
698	1463	630
699	1465	628
700	1467	625
701	1468	623
702	1470	621
703	1472	618
704	1474	616
705	1475	614
706	1477	612
707	1479	610
708	1481	608
709	1483	605
710	1485	603
711	1487	601
712	1490	599
713	1493	598
714	1495	596
715	1497	593
716	1499	591
717	1501	589
718	1503	587
719	1505	585
720	1507	583
721	1509	581
722	1511	578
723	1512	576
724	1514	574
725	1516	572
726	1518	570
727	1520	568
728	1522	566
729	1524	563
730	1526	561
731	1528	559
732	1530	557
733	1532	555
734	1534	553
735	1536	551
736	1538	549
737	1540	546
738	1542	544
739	1544	542
740	1546	540
741	1549	538
742	1551	536
743	1553	534
744	1556	532
745	1558	530
746	1560	528
747	1561	526
748	1564	524
749	1566	522
750	1569	520
751	1571	518
752	1573	516
753	1575	514
754	1577	511
755	1579	509
756	1581	507
757	1584	505
758	1586	503
759	1588	501
760	1591	499
761	1593	497
762	1595	495
763	1598	493
764	1600	491
765	1602	489
766	1604	487
767	1607	485
768	1609	483
769	1611	481
770	1613	479
771	1615	477
772	1618	475
773	1620	473
774	1623	471
775	1625	469
776	1627	467
777	1629	464
778	1631	462
779	1633	460
780	1635	458
781	1637	456
782	1639	454
783	1641	452
784	1643	450
785	1645	447
786	1646	445
787	1648	443
788	1650	441
789	1652	439
790	1653	436
791	1655	434
792	1657	432
793	1659	430
794	1661	428
795	1663	426
796	1665	424
797	1667	422
798	1669	419
799	1672	418
800	1674	415
801	1676	413
802	1677	411
803	1679	409
804	1681	407
805	1683	405
806	1684	402
807	1686	400
808	1688	398
809	1689	396
810	1691	394
811	1693	392
812	1695	389
813	1697	387
814	1699	385
815	1701	383
816	1703	381
817	1704	379
818	1707	377
819	1709	375
820	1711	373
821	1713	371
822	1715	369
823	1717	366
824	1719	364
825	1721	362
826	1723	360
827	1725	358
828	1727	356
829	1729	354
830	1732	352
831	1734	350
832	1736	348
833	1738	346
834	1740	343
835	1742	341
836	1744	339
837	1746	337
838	1748	335
839	1750	333
840	1751	331
841	1754	329
842	1756	327
843	1758	324
844	1760	322
845	1762	320
846	1763	318
847	1765	316
848	1767	314
849	1769	312
850	1771	310
851	1773	307
852	1774	305
853	1776	303
854	1778	301
855	1780	299
856	1782	297
857	1784	295
858	1785	293
859	1787	291
860	1789	288
861	1791	286
862	1793	284
863	1795	282
864	1797	280
865	1799	278
866	1801	276
867	1803	274
868	1804	272
869	1806	269
870	1808	267
871	1810	265
872	1811	263
873	1813	261
874	1815	259
875	1817	257
876	1818	255
877	1820	252
878	1822	250
879	1824	248
880	1826	246
881	1828	244
882	1830	242
883	1832	240
884	1834	238
885	1836	236
886	1838	234
887	1840	232
888	1842	230
889	1843	227
890	1846	225
891	1848	223
892	1850	221
893	1852	219
894	1854	217
895	1856	215
896	1858	213
897	1860	211
898	1862	209
899	1864	207
900	1866	205
901	1868	202
902	1870	200
903	1872	198
904	1874	196
905	1876	194
906	1878	192
907	1880	190
908	1882	188
909	1884	186
910	1887	184
911	1889	182
912	1891	180
913	1893	178
914	1895	176
915	1897	174
916	1899	171
917	1901	169
918	1903	167
919	1905	165
920	1907	163
921	1909	161
922	1911	159
923	1913	157
924	1915	155
925	1917	153
926	1919	151
927	1922	149
928	1925	147
929	1927	145
930	1929	143
931	1931	140
932	1934	138
933	1936	136
934	1938	134
935	1940	132
936	1942	130
937	1944	128
938	1946	126
939	1949	124
940	1951	122
941	1953	120
942	1955	118
943	1957	116
944	1959	114
945	1961	111
946	1963	109
947	1965	107
948	1968	105
949	1970	103
950	1972	101
951	1974	99
952	1976	97
953	1978	95
954	1981	93
955	1983	91
956	1985	89
957	1987	87
958	1989	85
959	1992	83
960	1994	80
961	1996	78
962	1998	76
963	2000	74
964	2002	72
965	2003	70
966	2005	68
967	2007	66
968	2009	64
969	2010	62
970	2012	60
971	2014	58
972	2016	55
973	2018	53
974	2020	51
975	2021	49
976	2023	47
977	2025	45
978	2027	43
979	2029	41
980	2031	39
981	2033	37
982	2035	35
983	2037	33
984	2038	31
985	2040	28
986	2042	26
987	2044	24
988	2046	22
989	2048	20
990	2049	18
991	2051	16
992	2053	14
993	2055	12
994	2057	10
995	2058	8
996	2060	6
997	2062	4
998	2064	2
999	2065	0
